type,var,var_m_1,var_m_2,var_m_3,var_m_4,var_f_4,var_f_3,var_f_2,var_f_1
1,,REGULAR_PRICE,FINAL_PRICE,UNITS,PURCH_TRANS,Segment,Kohls Charge,Loyalist,New-Existing
2,Display,spend,impression,click,,,,,
2,Local Mobile,spend,impression,click,,,,,
2,Local Radio,spend,impression,GRP,,,,,
2,Local TV,spend,impression,GRP,,,,,
2,Magazine,spend,impression,GRP,,,,,
2,Network Radio,spend,impression,GRP,,,,,Type
2,National TV,spend,impression,,,,,,
2,OOH,spend,impression,,,,,,
2,Search,spend,impression,click,,,Type,Resource,Device
2,Tab,spend,circ,,,,,,Type
