variable,type,var,f_1,f_2,f_3,f_4,metric,export_1,export_2
disp_click,2,Display,,,,,m_3,v1,Display_click
disp_imp,2,Display,,,,,m_2,v2,Display_impression
disp_spd,2,Display,,,,,m_1,v3,Display_spend
local_mobile_clk,2,Local Mobile,,,,,m_3,v4,Local Mobile_click
local_mobile_imp,2,Local Mobile,,,,,m_2,v5,Local Mobile_impression
local_mobile_spd,2,Local Mobile,,,,,m_1,v6,Local Mobile_spend
lr_grp,2,Local Radio,,,,,m_3,v7,Local Radio_grp
lr_imp,2,Local Radio,,,,,m_2,v8,Local Radio_impression
lr_spd,2,Local Radio,,,,,m_1,v9,Local Radio_spend
lt_grp,2,Local TV,,,,,m_3,v10,Local TV_grp
lt_imp,2,Local TV,,,,,m_2,v11,Local TV_impression
lt_spd,2,Local TV,,,,,m_1,v12,Local TV_spend
mag_grp,2,Magazine,,,,,m_3,v13,Magazine_grp
mag_imp,2,Magazine,,,,,m_2,v14,Magazine_impression
mag_spd,2,Magazine,,,,,m_1,v15,Magazine_spend
nr_dgt_grp,2,Network Radio,Digital,,,,m_3,v16,Network Radio_Digital_grp
nr_dgt_imp,2,Network Radio,Digital,,,,m_2,v17,Network Radio_Digital_impression
nr_dgt_spd,2,Network Radio,Digital,,,,m_1,v18,Network Radio_Digital_spend
nr_terr_grp,2,Network Radio,Territail,,,,m_3,v19,Network Radio_Territail_grp
nr_terr_imp,2,Network Radio,Territail,,,,m_2,v20,Network Radio_Territail_impression
nr_terr_spd,2,Network Radio,Territail,,,,m_1,v21,Network Radio_Territail_spend
nt_imp,2,National TV,,,,,m_2,v22,National TV_impression
nt_spd,2,National TV,,,,,m_1,v23,National TV_spend
ooh_imp,2,OOH,,,,,m_2,v24,OOH_impression
ooh_spd,2,OOH,,,,,m_1,v25,OOH_spend
psch_clk_dsktp_pla_br,2,Search,Desktop,PLA,Brand,,m_3,v26,Search_Desktop_PLA_Brand_click
psch_clk_dsktp_pla_nbr,2,Search,Desktop,PLA,Non-Brand,,m_3,v27,Search_Desktop_PLA_Non-Brand_click
psch_clk_dsktp_reg_br,2,Search,Desktop,Regular,Brand,,m_3,v28,Search_Desktop_Regular_Brand_click
psch_clk_dsktp_reg_nbr,2,Search,Desktop,Regular,Non-Brand,,m_3,v29,Search_Desktop_Regular_Non-Brand_click
psch_clk_mo_pla_br,2,Search,Mobile,PLA,Brand,,m_3,v30,Search_Mobile_PLA_Brand_click
psch_clk_mo_pla_nbr,2,Search,Mobile,PLA,Non-Brand,,m_3,v31,Search_Mobile_PLA_Non-Brand_click
psch_clk_mo_reg_br,2,Search,Mobile,Regular,Brand,,m_3,v32,Search_Mobile_Regular_Brand_click
psch_clk_mo_reg_nbr,2,Search,Mobile,Regular,Non-Brand,,m_3,v33,Search_Mobile_Regular_Non-Brand_click
psch_clk_tblt_pla_br,2,Search,Tablet,PLA,Brand,,m_3,v34,Search_Tablet_PLA_Brand_click
psch_clk_tblt_pla_nbr,2,Search,Tablet,PLA,Non-Brand,,m_3,v35,Search_Tablet_PLA_Non-Brand_click
psch_clk_tblt_reg_br,2,Search,Tablet,Regular,Brand,,m_3,v36,Search_Tablet_Regular_Brand_click
psch_clk_tblt_reg_nbr,2,Search,Tablet,Regular,Non-Brand,,m_3,v37,Search_Tablet_Regular_Non-Brand_click
psch_imp_dsktp_pla_br,2,Search,Desktop,PLA,Brand,,m_2,v38,Search_Desktop_PLA_Brand_impression
psch_imp_dsktp_pla_nbr,2,Search,Desktop,PLA,Non-Brand,,m_2,v39,Search_Desktop_PLA_Non-Brand_impression
psch_imp_dsktp_reg_br,2,Search,Desktop,Regular,Brand,,m_2,v40,Search_Desktop_Regular_Brand_impression
psch_imp_dsktp_reg_nbr,2,Search,Desktop,Regular,Non-Brand,,m_2,v41,Search_Desktop_Regular_Non-Brand_impression
